WorkOrderID,ReceivedDate,CompletedDate,ClientID,ServiceLine,Department,EmployeeID,Priority,ProductionCount,BillableHours,QualityScore,ReworkFlag,SLATargetHours,AHTMinutes,TATHours,SLAMet,CompletionMonth
WO000214,2025-01-01 09:11:55,2025-01-02 21:41:19,C002,Certificate Issuance,Operations North,E006,Standard,6,2.08,93.4,No,48,20.84,36.49,Met,2025-01
WO000277,2025-01-02 08:32:20,2025-01-04 00:22:44,C004,Certificate Issuance,Operations South,E031,Standard,4,1.27,99.3,No,48,19.01,39.84,Met,2025-01
WO000303,2025-01-02 17:04:27,2025-01-04 22:33:15,C007,Policy Administration,Operations Central,E010,Standard,4,1.66,93.5,No,72,24.93,53.48,Met,2025-01
WO000052,2025-01-03 09:23:04,2025-01-05 00:11:04,C001,Policy Administration,Operations Central,E020,Standard,2,0.62,90.7,Yes,72,18.60,38.80,Met,2025-01
WO001059,2025-01-05 00:13:26,2025-01-05 10:09:14,C007,Document Retrieval,Operations North,E025,Standard,2,0.41,90.0,Yes,24,12.43,9.93,Met,2025-01
WO000954,2025-01-04 16:03:09,2025-01-06 07:16:57,C005,Direct Bill Posting,Operations North,E021,Standard,18,3.05,93.8,No,48,10.18,39.23,Met,2025-01
WO000781,2025-01-05 09:54:54,2025-01-06 09:18:54,C010,Direct Bill Posting,Operations North,E018,Standard,17,1.90,92.3,No,48,6.69,23.40,Met,2025-01
WO001703,2025-01-05 08:39:37,2025-01-06 14:21:01,C008,Direct Bill Posting,Operations Central,E036,Standard,15,2.38,99.9,No,48,9.51,29.69,Met,2025-01
WO000859,2025-01-06 00:25:08,2025-01-06 18:54:32,C013,Policy Administration,Operations South,E020,Rush,2,0.82,90.8,Yes,36,24.63,18.49,Met,2025-01
WO001700,2025-01-05 12:59:05,2025-01-07 06:30:17,C015,Direct Bill Posting,Operations Central,E034,Standard,6,0.75,90.9,Yes,48,7.52,41.52,Met,2025-01
WO000155,2025-01-07 03:05:01,2025-01-08 06:36:49,C004,Policy Administration,Operations South,E010,Standard,2,0.75,96.0,No,72,22.41,27.53,Met,2025-01
